Gene	rsID	Chr	Position	Type	Function
ARID1B	rs2547381294	6	6:156880248	snv	intron_variant,genic_upstream_transcript_variant
ARID2	rs2547684040	12	12:45908032	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
ARID2	rs2547684037	12	12:45908009	delins	3_prime_UTR_variant,genic_downstream_transcript_variant
ASXL1	rs2542637976	20	20:32430913	snv	genic_downstream_transcript_variant,5_prime_UTR_variant,intron_variant
ASXL1	rs2530184610	20	20:32360065	del	genic_upstream_transcript_variant,intron_variant
ATM	rs2550338285	11	11:108243960	del	intron_variant,frameshift_variant,coding_sequence_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant
ATM	rs2547836980	11	11:108284327	delins	frameshift_variant,coding_sequence_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant
ATR	rs2528753831	3	3:142501771	delins	intron_variant
ATR	rs2526533877	3	3:142472820	del	intron_variant,genic_downstream_transcript_variant
ATRX	rs2522843369	X	X:77661396	del	intron_variant
ATRX	rs2522843108	X	X:77661384	snv	intron_variant
AURKA	rs2523323505	20	20:56382880	delins	intron_variant
AURKA	rs2515946975	20	20:56376085	snv	intron_variant
AURKB	rs2528216070	17	17:8210023	snv	intron_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
AURKB	rs2507816812	17	17:8210568	delins	genic_upstream_transcript_variant,upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
AXIN1	rs2548595872	16	16:352671	snv	genic_upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
AXIN1	rs2548595863	16	16:352669	snv	genic_upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
AXIN2	rs2544269777	17	17:65561630	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
AXIN2	rs2544269755	17	17:65561623	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
AXL	rs2546161822	19	19:41219275	del	5_prime_UTR_variant,genic_upstream_transcript_variant
AXL	rs2533159942	19	19:41253776	del	intron_variant
B2M	rs2506046363	15	15:44718109	snv	3_prime_UTR_variant,500B_downstream_variant,genic_downstream_transcript_variant,downstream_transcript_variant
B2M	rs2506046343	15	15:44718071	snv	3_prime_UTR_variant,500B_downstream_variant,genic_downstream_transcript_variant,downstream_transcript_variant
BAP1	rs2471369241	3	3:52410006	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
BAP1	rs2471369232	3	3:52410005	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
BARD1	rs2523755073	2	2:214801882	del	intron_variant
BARD1	rs2522259567	2	2:214781288	delins	intron_variant,stop_gained,non_coding_transcript_variant,inframe_indel,coding_sequence_variant
BCL10	rs2527121711	1	1:85276630	snv	5_prime_UTR_variant,non_coding_transcript_variant,upstream_transcript_variant,genic_upstream_transcript_variant
BCL10	rs2527121698	1	1:85276625	snv	5_prime_UTR_variant,non_coding_transcript_variant,upstream_transcript_variant,genic_upstream_transcript_variant
BCL11B	rs2536766378	14	14:99172618	snv	3_prime_UTR_variant
BCL11B	rs2503974725	14	14:99272193	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
BCL2	rs2524615085	18	18:63232043	delins	intron_variant,genic_downstream_transcript_variant
BCL2	rs2523607011	18	18:63198607	del	intron_variant,genic_downstream_transcript_variant
BCL2L1	rs2537250785	20	20:31723796	del	5_prime_UTR_variant,upstream_transcript_variant,downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant,500B_downstream_variant
BCL2L1	rs2534877313	20	20:31723616	del	upstream_transcript_variant,downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant,500B_downstream_variant
BCL2L2	rs2549476656	14	14:23309211	del	intron_variant,3_prime_UTR_variant
BCL2L2	rs2501896374	14	14:23311744	snv	3_prime_UTR_variant,intron_variant
BCL6	rs2473834415	3	3:187745449	snv	non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
BCL6	rs2473834408	3	3:187745447	snv	non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
BCL7A	rs2546976637	12	12:122062015	delins	upstream_transcript_variant,3_prime_UTR_variant,2KB_upstream_variant
BCL7A	rs2546976623	12	12:122062004	snv	upstream_transcript_variant,3_prime_UTR_variant,2KB_upstream_variant
BCOR	rs2541176656	X	X:40075313	delins	intron_variant
BCOR	rs2524379040	X	X:40118406	delins	intron_variant,genic_upstream_transcript_variant
BCORL1	rs2523002479	X	X:130058060	snv	3_prime_UTR_variant
BCORL1	rs2523002430	X	X:130058029	snv	3_prime_UTR_variant
BCR	rs2549646623	22	22:23260770	snv	upstream_transcript_variant,intron_variant,2KB_upstream_variant
BCR	rs2542059012	22	22:23195103	del	intron_variant
BIRC3	rs2497085726	11	11:102339391	snv	3_prime_UTR_variant
BIRC3	rs2497085705	11	11:102339362	snv	3_prime_UTR_variant
BLM	rs2538956330	15	15:90782018	snv	intron_variant,genic_downstream_transcript_variant
BLM	rs2533006370	15	15:90804086	del	intron_variant,genic_downstream_transcript_variant
BMPR1A	rs2539684638	10	10:86932824	snv	
BMPR1A	rs2539684583	10	10:86932741	snv	
BRAF	rs2546963263	7	7:140912835	delins	genic_upstream_transcript_variant,intron_variant
BRAF	rs2536971200	7	7:140924921	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
BRCA1	rs2552282964	17	17:43132833	snv	intron_variant
BRCA1	rs2552282963	17	17:43132754	snv	intron_variant
BRCA2	rs2549554387	13	13:32354963	delins	frameshift_variant,coding_sequence_variant
BRCA2	rs2548567607	13	13:32400131	snv	3_prime_UTR_variant
BRCC3	rs2524133335	X	X:155123040	snv	3_prime_UTR_variant
BRCC3	rs2524133251	X	X:155122976	snv	3_prime_UTR_variant
BRD3	rs2539596525	9	9:134068526	snv	5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
BRD3	rs2539596451	9	9:134068498	snv	5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
BRD4	rs2546477408	19	19:15316073	del	intron_variant,genic_upstream_transcript_variant
BRD4	rs2542098787	19	19:15255208	delins	intron_variant
BRINP3	rs2529758807	1	1:190477847	snv	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant,genic_upstream_transcript_variant
BRINP3	rs2529758733	1	1:190477831	snv	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant,genic_upstream_transcript_variant
BRIP1	rs2548074749	17	17:61681576	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
BRIP1	rs2545489237	17	17:61863476	snv	5_prime_UTR_variant
BTG1	rs2477067846	4	4:73988182	snv	5_prime_UTR_variant
BTG1	rs2477067842	4	4:73988181	snv	5_prime_UTR_variant
BTK	rs2520784097	X	X:101390792	snv	genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
BTK	rs2520784046	X	X:101390785	snv	genic_upstream_transcript_variant,upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
BUB1B	rs2542595723	15	15:40221118	snv	3_prime_UTR_variant,intron_variant
BUB1B	rs2542595710	15	15:40221112	snv	3_prime_UTR_variant,intron_variant
C11ORF95	rs2539112791	11	11:63768770	snv	5_prime_UTR_variant
C11ORF95	rs2539112717	11	11:63768734	snv	5_prime_UTR_variant
CALR	rs2537060341	19	19:12942673	delins	intron_variant
CALR	rs2533946926	19	19:12944158	del	2KB_upstream_variant,upstream_transcript_variant,3_prime_UTR_variant
CAMTA1	rs2529088924	1	1:7017148	snv	genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
CAMTA1	rs2529085651	1	1:7016995	snv	genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
CARD11	rs2545535035	7	7:3004559	snv	intron_variant
CARD11	rs2535394358	7	7:3043676	snv	5_prime_UTR_variant
CASP8	rs2470534523	2	2:201287679	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,non_coding_transcript_variant
CASP8	rs2470534227	2	2:201287658	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,non_coding_transcript_variant
CBFB	rs2544494728	16	16:67101044	snv	3_prime_UTR_variant
CBFB	rs2544494718	16	16:67101040	snv	3_prime_UTR_variant
CBL	rs2551925344	11	11:119276234	snv	intron_variant
CBL	rs2528319988	11	11:119278373	delins	intron_variant
CBLB	rs2547659975	3	3:105825693	snv	genic_upstream_transcript_variant,intron_variant
CBLB	rs2547659815	3	3:105825650	snv	genic_upstream_transcript_variant,intron_variant
CBLC	rs2522855242	1	1:45513351	snv	3_prime_UTR_variant,intron_variant
CBLC	rs2522855222	1	1:45513348	del	3_prime_UTR_variant,intron_variant
CCN6	rs2546930875	6	6:112069675	delins	genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant
CCN6	rs2546930873	6	6:112069676	snv	genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant
CCND1	rs2547188164	11	11:69646070	delins	intron_variant
CCND1	rs2539082845	11	11:69654461	snv	3_prime_UTR_variant
CCND2	rs2497538433	12	12:4305342	snv	3_prime_UTR_variant
CCND2	rs2497538426	12	12:4305338	snv	3_prime_UTR_variant
CCND3	rs2533165561	6	6:41936970	snv	intron_variant
CCND3	rs2533165537	6	6:41936968	snv	intron_variant
CCNE1	rs2530818213	19	19:29823551	del	intron_variant
CCNE1	rs2513396820	19	19:29824272	snv	3_prime_UTR_variant
CD19	rs2538954778	16	16:28939181	del	genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant
CD19	rs2506485240	16	16:28939337	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,non_coding_transcript_variant
CD274	rs2488716927	9	9:5470477	snv	intron_variant,non_coding_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant
CD274	rs2488716922	9	9:5470474	snv	intron_variant,non_coding_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant
CD28	rs2469600831	2	2:203738777	snv	3_prime_UTR_variant
CD28	rs2469600804	2	2:203738743	delins	3_prime_UTR_variant
CD40	rs2515731861	20	20:46129824	snv	non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
CD40	rs2515731731	20	20:46129711	snv	non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
CD58	rs2526162472	1	1:116525166	snv	intron_variant
CD58	rs2526162414	1	1:116525136	delins	intron_variant
CD79A	rs2513704599	19	19:41881367	snv	upstream_transcript_variant,2KB_upstream_variant,3_prime_UTR_variant
CD79A	rs2513704592	19	19:41881366	snv	upstream_transcript_variant,2KB_upstream_variant,3_prime_UTR_variant
CD79B	rs2509274485	17	17:63932328	snv	5_prime_UTR_variant
CD79B	rs2509274468	17	17:63932318	snv	5_prime_UTR_variant
CDC73	rs2527533744	1	1:193254803	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
CDC73	rs2527533612	1	1:193254676	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
CDH1	rs2543970378	16	16:68835494	snv	3_prime_UTR_variant
CDH1	rs2543970354	16	16:68835485	snv	3_prime_UTR_variant
CDK12	rs2545841571	17	17:39567427	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
CDK12	rs2545841316	17	17:39567343	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
CDK4	rs2540905562	12	12:57752294	snv	5_prime_UTR_variant
CDK4	rs2540905531	12	12:57752270	snv	5_prime_UTR_variant
CDK6	rs2535103807	7	7:92836569	snv	5_prime_UTR_variant,intron_variant,genic_upstream_transcript_variant
CDK6	rs2535103728	7	7:92836528	snv	non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
CDK8	rs2545608873	13	13:26296051	delins	intron_variant,genic_upstream_transcript_variant
CDK8	rs2542454359	13	13:26405083	snv	3_prime_UTR_variant
CDKN1A	rs2532591269	6	6:36687329	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
CDKN1A	rs2532591262	6	6:36687327	delins	3_prime_UTR_variant,genic_downstream_transcript_variant,500B_downstream_variant,downstream_transcript_variant
CDKN1B	rs2497412263	12	12:12722330	snv	3_prime_UTR_variant
CDKN1B	rs2497412232	12	12:12722285	snv	3_prime_UTR_variant
CDKN2A	rs2530766431	9	9:21975079	del	intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant
CDKN2A	rs2525485259	9	9:21981003	del	intron_variant,non_coding_transcript_variant,genic_upstream_transcript_variant
CDKN2B	rs2522399764	9	9:22008615	snv	intron_variant
CDKN2B	rs2489499867	9	9:22009309	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,intron_variant,upstream_transcript_variant
CDKN2C	rs2524608630	1	1:50974597	snv	3_prime_UTR_variant
CDKN2C	rs2524608617	1	1:50974581	snv	3_prime_UTR_variant
CEBPA	rs2513334299	19	19:33302531	ins	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
CEBPA	rs2513334286	19	19:33302525	snv	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
CHD2	rs2537802470	15	15:92978465	delins	genic_downstream_transcript_variant,intron_variant
CHD2	rs2537136353	15	15:92946286	del	intron_variant
CHD4	rs2545238618	12	12:6601770	snv	intron_variant
CHD4	rs2540425754	12	12:6607347	delins	genic_upstream_transcript_variant,intron_variant,2KB_upstream_variant,upstream_transcript_variant,5_prime_UTR_variant
CHEK1	rs2523816427	11	11:125664308	delins	genic_downstream_transcript_variant,intron_variant
CHEK1	rs2498541926	11	11:125681090	snv	genic_downstream_transcript_variant,non_coding_transcript_variant,upstream_transcript_variant,2KB_upstream_variant
CHEK2	rs2544801187	22	22:28737474	del	5_prime_UTR_variant,intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant
CHEK2	rs2541023640	22	22:28721521	del	5_prime_UTR_variant,intron_variant,genic_upstream_transcript_variant
CHIC2	rs2524662525	4	4:54036815	del	intron_variant,genic_downstream_transcript_variant
CHIC2	rs2475438601	4	4:54091870	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
CIC	rs2529750908	19	19:42288123	snv	intron_variant
CIC	rs2524791560	19	19:42284567	del	intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
CIITA	rs2544780347	16	16:10943004	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,non_coding_transcript_variant,2KB_upstream_variant,upstream_transcript_variant
CIITA	rs2544779360	16	16:10942778	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,non_coding_transcript_variant,2KB_upstream_variant,upstream_transcript_variant
COL1A1	rs2509268300	17	17:50201629	snv	5_prime_UTR_variant
COL1A1	rs2509268272	17	17:50201622	snv	5_prime_UTR_variant
CREBBP	rs2548583105	16	16:3880606	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
CREBBP	rs2548583069	16	16:3880577	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
CRKL	rs2548756895	22	22:20922031	delins	intron_variant
CRKL	rs2535919762	22	22:20932923	delins	intron_variant
CSF1R	rs2546218744	5	5:150063355	del	intron_variant
CSF1R	rs2523063554	5	5:150105371	delins	intron_variant,genic_upstream_transcript_variant
CSF3R	rs2521893559	1	1:36483200	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
CSF3R	rs2521893447	1	1:36483162	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
CSNK1A1	rs2481762363	5	5:149551390	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
CSNK1A1	rs2481762347	5	5:149551382	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
CTCF	rs2548290157	16	16:67621541	snv	missense_variant,coding_sequence_variant
CTCF	rs2547583244	16	16:67607592	snv	intron_variant
CTLA4	rs2469725085	2	2:203873947	snv	3_prime_UTR_variant
CTLA4	rs2469725075	2	2:203873943	snv	3_prime_UTR_variant
CTNNA1	rs2533976299	5	5:138934953	snv	3_prime_UTR_variant
CTNNA1	rs2533975738	5	5:138934927	snv	3_prime_UTR_variant
CTNNB1	rs2470873236	3	3:41240410	snv	3_prime_UTR_variant
CTNNB1	rs2470873225	3	3:41240404	snv	3_prime_UTR_variant
CUL3	rs2470035310	2	2:224529601	snv	intron_variant
CUL3	rs2470035247	2	2:224529585	snv	intron_variant
CUX1	rs2546901592	7	7:102195127	delins	upstream_transcript_variant,2KB_upstream_variant,intron_variant
CUX1	rs2537413258	7	7:102157889	snv	intron_variant
CXCR4	rs2467273146	2	2:136118145	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
CXCR4	rs2467273142	2	2:136118144	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
CYLD	rs2543182669	16	16:50782522	del	genic_downstream_transcript_variant,intron_variant,downstream_transcript_variant
CYLD	rs2507021847	16	16:50769587	snv	intron_variant
DAXX	rs2536881808	6	6:33322945	snv	intron_variant,5_prime_UTR_variant
DAXX	rs2536881792	6	6:33322944	delins	intron_variant,5_prime_UTR_variant
DDR2	rs2526842580	1	1:162760607	snv	intron_variant
DDR2	rs2526842431	1	1:162760590	del	intron_variant
DDX3X	rs2529567116	X	X:41341729	del	intron_variant,genic_downstream_transcript_variant
DDX3X	rs2519547510	X	X:41364438	snv	genic_downstream_transcript_variant,non_coding_transcript_variant
DDX41	rs2532092607	5	5:177516960	snv	5_prime_UTR_variant
DDX41	rs2532092571	5	5:177516949	snv	5_prime_UTR_variant
DEK	rs2535352523	6	6:18264516	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
DEK	rs2535352506	6	6:18264513	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
DGCR8	rs2531739417	22	22:20080573	snv	upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant
DGCR8	rs2519317430	22	22:20111868	snv	downstream_transcript_variant,3_prime_UTR_variant,500B_downstream_variant
DICER1	rs2543807042	14	14:95158001	snv	upstream_transcript_variant,5_prime_UTR_variant,intron_variant,genic_upstream_transcript_variant
DICER1	rs2543806936	14	14:95157991	snv	upstream_transcript_variant,5_prime_UTR_variant,intron_variant,genic_upstream_transcript_variant
DNAJB1	rs2546855157	19	19:14543414	delins	intron_variant,genic_upstream_transcript_variant
DNAJB1	rs2538417779	19	19:14532511	snv	intron_variant,genic_upstream_transcript_variant
DNM2	rs2550067910	19	19:10722777	delins	intron_variant
DNM2	rs2545760522	19	19:10804453	delins	intron_variant
DNMT3A	rs2466140980	2	2:25342460	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,non_coding_transcript_variant,upstream_transcript_variant
DNMT3A	rs2466140580	2	2:25342328	snv	genic_upstream_transcript_variant,intron_variant,upstream_transcript_variant
DOT1L	rs2549035023	19	19:2227622	delins	intron_variant
DOT1L	rs2512485868	19	19:2231447	snv	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant
DROSHA	rs2528116125	5	5:31411011	delins	intron_variant
DROSHA	rs2478463494	5	5:31532090	snv	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant
DUSP22	rs2526305134	6	6:292490	del	genic_upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant
DUSP22	rs2480725175	6	6:351321	snv	3_prime_UTR_variant,non_coding_transcript_variant
EBF1	rs2535979017	5	5:159099899	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,2KB_upstream_variant,upstream_transcript_variant
EBF1	rs2535978949	5	5:159099890	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,2KB_upstream_variant,upstream_transcript_variant
EED	rs2538537588	11	11:86251998	del	intron_variant
EED	rs2531271886	11	11:86260758	del	intron_variant
EFNB2	rs2501617386	13	13:106535650	delins	genic_upstream_transcript_variant,5_prime_UTR_variant
EFNB2	rs2501617289	13	13:106535635	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
EGFR	rs2535634060	7	7:55173795	delins	genic_downstream_transcript_variant,intron_variant
EGFR	rs2535634003	7	7:55173790	delins	genic_downstream_transcript_variant,intron_variant
EGR2	rs2492318616	10	10:62819152	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
EGR2	rs2492318574	10	10:62819129	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
EIF1AX	rs2519533001	X	X:20141837	snv	5_prime_UTR_variant
EIF1AX	rs2519533000	X	X:20141836	snv	5_prime_UTR_variant
ELOC	rs2536902296	8	8:73956309	snv	intron_variant
ELOC	rs2536902280	8	8:73956308	snv	intron_variant
EMSY	rs2497860652	11	11:76552997	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
EMSY	rs2497860607	11	11:76552993	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
EP300	rs2541766812	22	22:41151694	snv	intron_variant
EP300	rs2540462406	22	22:41147737	del	intron_variant
EPC1	rs2543496309	17	17:1777564	snv	3_prime_UTR_variant
EPC1	rs2543496300	17	17:1777562	delins	downstream_transcript_variant,3_prime_UTR_variant,500B_downstream_variant
EPCAM	rs2465491745	2	2:47387004	snv	3_prime_UTR_variant
EPCAM	rs2465491734	2	2:47386998	snv	3_prime_UTR_variant
EPHA3	rs2527862592	3	3:89107640	snv	5_prime_UTR_variant
EPHA3	rs2522096696	3	3:89391427	delins	intron_variant
EPHA5	rs2546270213	4	4:65670469	snv	upstream_transcript_variant,non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
EPHA5	rs2546270029	4	4:65670423	delins	upstream_transcript_variant,non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
EPHA7	rs2546519181	6	6:93333054	delins	intron_variant,genic_downstream_transcript_variant
EPHA7	rs2483199870	6	6:93419558	snv	non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
EPHB1	rs2547538885	3	3:134859689	snv	intron_variant
EPHB1	rs2547538876	3	3:134859654	snv	intron_variant
EPHB4	rs2546835249	7	7:100827106	del	5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
EPHB4	rs2485066406	7	7:100827521	snv	intron_variant,5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
EPOR	rs2538152538	19	19:11378044	delins	non_coding_transcript_variant,coding_sequence_variant,stop_gained
EPOR	rs2513485627	19	19:11377592	snv	non_coding_transcript_variant,3_prime_UTR_variant
ERBB2	rs2544589467	17	17:39728631	del	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
ERBB2	rs2544589421	17	17:39728628	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
ERBB3	rs2540768489	12	12:56103472	snv	2KB_upstream_variant,500B_downstream_variant,genic_downstream_transcript_variant,upstream_transcript_variant,3_prime_UTR_variant,downstream_transcript_variant
ERBB3	rs2540768421	12	12:56103408	snv	2KB_upstream_variant,500B_downstream_variant,genic_downstream_transcript_variant,upstream_transcript_variant,3_prime_UTR_variant,downstream_transcript_variant
ERBB4	rs2525857287	2	2:211607302	snv	intron_variant
ERBB4	rs2525090308	2	2:212485975	delins	genic_upstream_transcript_variant,intron_variant
ERCC1	rs2547044652	19	19:45423424	del	intron_variant,5_prime_UTR_variant
ERCC1	rs2536239488	19	19:45418175	del	intron_variant
ERCC2	rs2543121709	19	19:45364760	del	intron_variant
ERCC2	rs2537548439	19	19:45354956	snv	intron_variant,genic_downstream_transcript_variant
ERCC3	rs2468074064	2	2:127294128	del	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
ERCC3	rs2468073974	2	2:127294118	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
ERCC4	rs2543201883	16	16:13952344	snv	3_prime_UTR_variant
ERCC4	rs2543201847	16	16:13952308	snv	3_prime_UTR_variant
ERCC5	rs2501622208	13	13:102875993	snv	3_prime_UTR_variant
ERCC5	rs2501622178	13	13:102875989	snv	3_prime_UTR_variant
ERG	rs2539560187	21	21:38507959	del	intron_variant,genic_upstream_transcript_variant
ERG	rs2526939106	21	21:38372473	delins	intron_variant,genic_downstream_transcript_variant
